CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-15 03:05:19 ,2008-06-15 03:15:19 ,58.2,mean
2008-06-15 03:20:19 ,2008-06-15 03:30:19 ,17.48,mean
2008-06-15 03:35:19 ,2008-06-15 03:45:19 ,1.693,mean
2008-06-15 03:50:19 ,2008-06-15 04:00:19 ,0,mean
2008-06-15 04:05:19 ,2008-06-15 04:15:19 ,0,mean
2008-06-15 04:20:19 ,2008-06-15 04:30:19 ,0,mean
2008-06-15 04:35:19 ,2008-06-15 04:45:19 ,0,mean
2008-06-15 04:50:19 ,2008-06-15 05:00:19 ,0,mean
2008-06-15 05:05:19 ,2008-06-15 05:15:19 ,0,mean
2008-06-15 05:20:19 ,2008-06-15 05:30:19 ,0,mean
2008-06-15 05:35:19 ,2008-06-15 05:45:19 ,0,mean
2008-06-15 05:50:19 ,2008-06-15 06:00:19 ,0,mean
2008-06-15 06:05:19 ,2008-06-15 06:15:19 ,0,mean
2008-06-15 06:20:19 ,2008-06-15 06:30:19 ,0,mean
2008-06-15 06:35:19 ,2008-06-15 06:45:19 ,0,mean
2008-06-15 06:50:19 ,2008-06-15 07:00:19 ,0,mean
2008-06-15 07:05:19 ,2008-06-15 07:15:19 ,0,mean
2008-06-15 07:20:19 ,2008-06-15 07:30:19 ,0,mean
2008-06-15 07:35:19 ,2008-06-15 07:45:19 ,0,mean
2008-06-15 07:50:19 ,2008-06-15 08:00:19 ,0,mean
2008-06-15 08:05:19 ,2008-06-15 08:15:19 ,0,mean
2008-06-15 08:20:19 ,2008-06-15 08:30:19 ,0,mean
2008-06-15 08:35:19 ,2008-06-15 08:45:19 ,0,mean
2008-06-15 08:50:19 ,2008-06-15 09:00:19 ,0,mean
2008-06-15 09:05:19 ,2008-06-15 09:15:19 ,0,mean
2008-06-15 09:20:19 ,2008-06-15 09:30:19 ,0,mean
2008-06-15 09:35:19 ,2008-06-15 09:45:19 ,0,mean
2008-06-15 09:50:19 ,2008-06-15 10:00:19 ,0,mean
2008-06-15 10:05:19 ,2008-06-15 10:15:19 ,0,mean
2008-06-15 10:20:19 ,2008-06-15 10:30:19 ,0,mean
2008-06-15 10:35:19 ,2008-06-15 10:45:19 ,0,mean
2008-06-15 10:50:19 ,2008-06-15 11:00:19 ,0,mean
2008-06-15 11:05:19 ,2008-06-15 11:15:19 ,0,mean
2008-06-15 11:20:19 ,2008-06-15 11:30:19 ,0,mean
2008-06-15 11:35:19 ,2008-06-15 11:45:19 ,0,mean
