CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-03 08:50:00 ,2008-06-03 09:00:00 ,17.26,mean
2008-06-03 09:05:00 ,2008-06-03 09:15:00 ,17.26,mean
2008-06-03 09:35:00 ,2008-06-03 09:45:00 ,17.26,mean
2008-06-03 09:50:00 ,2008-06-03 10:00:00 ,17.26,mean
2008-06-03 10:20:00 ,2008-06-03 10:30:00 ,17.26,mean
2008-06-03 10:35:00 ,2008-06-03 10:45:00 ,17.26,mean
2008-06-03 10:50:00 ,2008-06-03 11:00:00 ,17.26,mean
2008-06-03 11:05:00 ,2008-06-03 11:15:00 ,13.81,mean
2008-06-03 11:20:00 ,2008-06-03 11:30:00 ,0,mean
2008-06-03 11:35:00 ,2008-06-03 11:45:00 ,1.151,mean
2008-06-03 11:50:00 ,2008-06-03 12:00:00 ,9.2,mean
2008-06-03 12:20:00 ,2008-06-03 12:30:00 ,17.26,mean
2008-06-03 12:35:00 ,2008-06-03 12:45:00 ,17.26,mean
2008-06-03 12:50:00 ,2008-06-03 13:00:00 ,17.26,mean
2008-06-03 13:05:00 ,2008-06-03 13:15:00 ,31.06,mean
2008-06-03 13:20:00 ,2008-06-03 13:30:00 ,47.17,mean
2008-06-03 13:35:00 ,2008-06-03 13:45:00 ,64.43,mean
2008-06-03 13:50:00 ,2008-06-03 14:00:00 ,100.1,mean
2008-06-03 14:20:00 ,2008-06-03 14:30:00 ,240.5,mean
2008-06-03 14:35:00 ,2008-06-03 14:45:00 ,261.2,mean
2008-06-03 14:50:00 ,2008-06-03 15:00:00 ,258.9,mean
2008-06-03 15:05:00 ,2008-06-03 15:15:00 ,517.7,mean
2008-06-03 15:35:00 ,2008-06-03 15:45:00 ,609.7,mean
2008-06-03 15:50:00 ,2008-06-03 16:00:00 ,664.8,mean
2008-06-03 16:05:00 ,2008-06-03 16:15:00 ,751,mean
2008-06-03 16:20:00 ,2008-06-03 16:30:00 ,889,mean
2008-06-03 16:35:00 ,2008-06-03 16:45:00 ,1099,mean
2008-06-03 16:50:00 ,2008-06-03 17:00:00 ,1195,mean
2008-06-03 17:05:00 ,2008-06-03 17:15:00 ,1272,mean
2008-06-03 17:35:00 ,2008-06-03 17:45:00 ,1374,mean
2008-06-03 17:50:00 ,2008-06-03 18:00:00 ,1349,mean
2008-06-03 18:05:00 ,2008-06-03 18:15:00 ,1526,mean
2008-06-03 18:20:00 ,2008-06-03 18:30:00 ,1489,mean
2008-06-03 18:35:00 ,2008-06-03 18:45:00 ,1505,mean
2008-06-03 18:50:00 ,2008-06-03 19:00:00 ,1593,mean
2008-06-03 19:05:00 ,2008-06-03 19:15:00 ,1663,mean
2008-06-03 19:20:00 ,2008-06-03 19:30:00 ,1659,mean
2008-06-03 19:35:00 ,2008-06-03 19:45:00 ,1677,mean
2008-06-03 19:50:00 ,2008-06-03 20:00:00 ,1675,mean
2008-06-03 20:20:00 ,2008-06-03 20:30:00 ,1686,mean
2008-06-03 20:35:00 ,2008-06-03 20:45:00 ,1667,mean
2008-06-03 20:50:00 ,2008-06-03 21:00:00 ,1656,mean
2008-06-03 21:05:00 ,2008-06-03 21:15:00 ,1644,mean
2008-06-03 21:35:00 ,2008-06-03 21:45:00 ,1580,mean
2008-06-03 21:50:00 ,2008-06-03 22:00:00 ,1506,mean
