# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	CSR_PORT: CSR_PORT number,	 numeric; "0" means all ports [req]
#	CSR_MSMT_VAR: measurement variable: "	Rs",	 "Rh",	 or "NEE" [req]
# 	CSR_TREATMENT: "None" or experimental manipulation [req]
#	CSR_AREA: optional chamber area,	 cm2
#	CSR_VOLUME: optional volume of chamber,	 cm3
#	CSR_DEPTH: optional collar insertion depth,	 cm
#	CSR_OPAQUE: opaque chamber? Assumed TRUE unless appears below  [req]
#	CSR_PLANTS_REMOVED: plants removed? Assumed TRUE unless appears below [req] 
#	CSR_FAN: mixing fan in chamber? Optional
# 	CSR_SPECIES: optional field describing species measured
#	CSR_SENSOR_DEPTHS: optional sensor depths for gradient method
#
# This file is unusual - data below are generated on import, because of 
# super complicated structure all packed into these data
#
CSR_PORT,	CSR_MSMT_VAR,	CSR_TREATMENT,		CSR_FAN,		CSR_AREA,	CSR_VOLUME,	CSR_DEPTH,	CSR_SPECIES
"3331","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3332","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3341","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3342","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3351","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3352","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3411","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3412","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3421","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3422","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3431","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3432","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3441","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3442","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3451","Rs","Girdled, partial O horizon","TRUE",71.6,991,0.5,"Tsuga canadensis"
"3452","Rs","Girdled","TRUE",71.6,991,0.5,"Tsuga canadensis"
