CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2006-10-23 11:27:41,2006-10-23 11:37:41,-0.5468094,mean
2006-10-23 11:39:41,2006-10-23 11:49:41,0,mean
2006-10-23 11:51:41,2006-10-23 12:01:41,-0.5468094,mean
2006-10-23 12:03:41,2006-10-23 12:13:41,0,mean
2006-10-23 12:15:41,2006-10-23 12:25:41,-1.0919466,mean
2006-10-23 12:27:41,2006-10-23 12:37:41,0,mean
2006-10-23 12:39:41,2006-10-23 12:49:41,0,mean
2006-10-23 13:03:41,2006-10-23 13:13:41,-2.7307026,mean
2006-10-23 13:15:41,2006-10-23 13:25:41,0.5468094,mean
2006-10-23 13:27:41,2006-10-23 13:37:41,-1.0919466,mean
2006-10-23 13:51:41,2006-10-23 14:01:41,-2.1838932,mean
2006-10-23 14:03:41,2006-10-23 14:13:41,-1.0919466,mean
2006-10-23 14:15:41,2006-10-23 14:25:41,-0.5468094,mean
2006-10-23 14:39:41,2006-10-23 14:49:41,0,mean
2006-10-23 14:51:41,2006-10-23 15:01:41,0,mean
2006-10-23 15:03:41,2006-10-23 15:13:41,-0.5468094,mean
2006-10-23 15:15:41,2006-10-23 15:25:41,4.3694586,mean
2006-10-23 15:27:41,2006-10-23 15:37:41,1.0919466,mean
2006-10-23 15:39:41,2006-10-23 15:49:41,2.1838932,mean
2006-10-23 15:51:41,2006-10-23 16:01:41,2.1838932,mean
2006-10-23 16:15:41,2006-10-23 16:25:41,5.4614052,mean
2006-10-23 16:27:41,2006-10-23 16:37:41,6.0065424,mean
2006-10-23 16:39:41,2006-10-23 16:49:41,6.0065424,mean
2006-10-23 16:51:41,2006-10-23 17:01:41,6.5533518,mean
2006-10-23 17:03:41,2006-10-23 17:13:41,26.2134072,mean
2006-10-23 17:15:41,2006-10-23 17:25:41,12.5598942,mean
2006-10-23 17:27:41,2006-10-23 17:37:41,68.2625484,mean
2006-10-23 17:51:41,2006-10-23 18:01:41,240.830244,mean
2006-10-23 18:03:41,2006-10-23 18:13:41,12.014757,mean
2006-10-23 18:15:41,2006-10-23 18:25:41,10.3776732,mean
2006-10-23 18:27:41,2006-10-23 18:37:41,12.0164292,mean
2006-10-23 18:39:41,2006-10-23 18:49:41,77.013171,mean
2006-10-23 18:51:41,2006-10-23 19:01:41,24.5796678,mean
2006-10-23 19:03:41,2006-10-23 19:13:41,174.24324,mean
2006-10-23 19:27:41,2006-10-23 19:37:41,76.4763948,mean
2006-10-23 19:39:41,2006-10-23 19:49:41,36.0543042,mean
2006-10-23 19:51:41,2006-10-23 20:01:41,44.2480842,mean
2006-10-23 20:03:41,2006-10-23 20:13:41,42.6110004,mean
2006-10-23 20:15:41,2006-10-23 20:25:41,28.954143,mean
2006-10-23 20:27:41,2006-10-23 20:37:41,30.592899,mean
2006-10-23 20:39:41,2006-10-23 20:49:41,66.6488754,mean
2006-10-23 21:03:41,2006-10-23 21:13:41,37.147923,mean
2006-10-23 21:15:41,2006-10-23 21:25:41,151.325739,mean
2006-10-23 21:27:41,2006-10-23 21:37:41,257.85324,mean
2006-10-23 21:39:41,2006-10-23 21:49:41,52.992018,mean
2006-10-23 21:51:41,2006-10-23 22:01:41,29.5009524,mean
2006-10-23 22:03:41,2006-10-23 22:13:41,39.8802978,mean
2006-10-23 22:15:41,2006-10-23 22:25:41,22.399119,mean
2006-10-23 22:39:41,2006-10-23 22:49:41,34.9640298,mean
2006-10-23 22:51:41,2006-10-23 23:01:41,13.6585296,mean
2006-10-23 23:03:41,2006-10-23 23:13:41,32.7801366,mean
2006-10-23 23:15:41,2006-10-23 23:25:41,51.9017436,mean
2006-10-23 23:27:41,2006-10-23 23:37:41,10.3810176,mean
2006-10-23 23:39:41,2006-10-23 23:49:41,9.2873988,mean
2006-10-23 23:51:41,2006-10-24 00:01:41,12.5649108,mean
2006-10-24 00:15:41,2006-10-24 00:25:41,12.0197736,mean
2006-10-24 00:27:41,2006-10-24 00:37:41,11.4729642,mean
2006-10-24 00:39:41,2006-10-24 00:49:41,7.1018334,mean
2006-10-24 01:03:41,2006-10-24 01:13:41,5.4630774,mean
2006-10-24 01:15:41,2006-10-24 01:25:41,5.4630774,mean
2006-10-24 01:27:41,2006-10-24 01:37:41,2.7323748,mean
2006-10-24 01:51:41,2006-10-24 02:01:41,0.5468094,mean
2006-10-24 02:03:41,2006-10-24 02:13:41,-1.638756,mean
2006-10-24 02:15:41,2006-10-24 02:25:41,0,mean
2006-10-24 02:27:41,2006-10-24 02:37:41,-0.5468094,mean
2006-10-24 02:39:41,2006-10-24 02:49:41,1.0919466,mean
2006-10-24 02:51:41,2006-10-24 03:01:41,0.5468094,mean
2006-10-24 03:03:41,2006-10-24 03:13:41,0,mean
2006-10-24 03:27:41,2006-10-24 03:37:41,2.7307026,mean
2006-10-24 03:39:41,2006-10-24 03:49:41,0,mean
